"escuela","departamento","sector","zona","nivel_socioeconomico","asistencia_pct","experiencia_docente","tamano_clase","presupuesto_alumno","computadoras_alumno","horas_semanales","formacion_docente_pct","puntaje_prueba"
"escuela_272","Salto","privado","rural",58.9,92.8,9.3,28,1840,0.72,35.7,54.1,595.2
"escuela_273","Canelones","publico","urbana",40.4,84.4,14.5,30,866,0.43,20.8,55.9,500
"escuela_274","Rivera","publico","rural",43.5,75.8,17.8,31,1016,0.61,30.6,10,455.7
"escuela_275","Tacuarembó","publico","rural",53.6,77.1,22.7,22,1326,0.61,31.3,90.8,536.1
"escuela_276","Tacuarembó","privado","urbana",59.6,80.4,21.7,19,1563,0.66,29,63.4,546.4
"escuela_277","Canelones","privado","urbana",69.4,81.1,19.8,22,1361,0.62,25.8,41.1,550.5
"escuela_278","Colonia","privado","urbana",72.4,86.8,12,16,1631,0.68,29.6,87.8,535.1
"escuela_279","Canelones","publico","urbana",68.3,94,20.6,29,1199,0.59,29.8,82.7,553.1
"escuela_280","Salto","privado","rural",39.5,82.8,8.8,25,1274,0.65,28.9,24.5,503.8
"escuela_281","Colonia","publico","rural",49.8,82.2,8.6,27,1283,0.4,28.4,54.3,550.5
"escuela_282","Colonia","publico","rural",62,81.4,6.6,19,1558,0.65,29.5,39.6,497.8
"escuela_283","Rivera","publico","rural",52.6,80.3,14.2,25,1189,0.46,23.8,65.3,506.7
"escuela_284","Colonia","publico","urbana",28.9,82,17.6,30,1006,0.56,35.5,19.6,451.6
"escuela_285","Montevideo","privado","rural",60.7,80.9,20.6,20,1716,0.74,33.1,83.2,583.2
"escuela_286","Salto","publico","rural",65.9,96.4,20.2,27,1262,0.43,28,32.3,554.2
"escuela_287","Paysandú","publico","rural",34.1,83.2,15,28,1460,0.71,27.7,47.2,465
"escuela_288","Canelones","publico","rural",50.1,91.1,12.1,33,1181,0.3,29.7,62.5,497.4
"escuela_289","Maldonado","publico","urbana",44.9,82.4,14.1,27,1140,0.66,30.7,78.6,422
"escuela_290","Paysandú","publico","rural",62.6,87.8,17.3,25,1601,0.52,30.4,48.2,581.8
"escuela_291","Montevideo","privado","urbana",85.3,84.7,20.7,25,1289,0.81,25.6,50.6,609.8
"escuela_292","Canelones","publico","rural",52.2,82.4,10.1,22,1239,0.51,33.1,77.8,485.3
"escuela_293","Rivera","privado","urbana",76,86.5,7.2,10,1615,0.66,32.5,87.6,606.6
"escuela_294","Colonia","publico","urbana",53.4,85.6,2.3,27,1027,0.36,29.6,70.6,521.1
"escuela_295","Rivera","privado","urbana",99.5,92.1,6.1,19,1880,0.59,30.2,56.8,573.6
"escuela_296","Maldonado","publico","urbana",69.3,88.9,9.7,23,1842,0.82,29.8,57.4,501.8
"escuela_297","Tacuarembó","publico","urbana",36.4,88.7,10.6,34,1091,0.35,30.9,42.1,487.3
"escuela_298","Salto","publico","urbana",35.8,80.8,15.5,30,915,0.56,29.4,28.1,417
"escuela_299","Paysandú","privado","urbana",68.8,92.9,9,27,1370,0.38,35.1,80.7,568.4
"escuela_300","Maldonado","publico","rural",43.3,88,12.3,35,1502,0.59,23.9,55.1,469.1
"escuela_301","Salto","privado","rural",65.4,80.1,7.8,18,1395,0.7,32.8,77,494.5
"escuela_302","Canelones","publico","urbana",49.1,79.5,7.3,27,1200,0.54,32.2,91.2,525.4
"escuela_303","Paysandú","publico","urbana",47.2,93.7,12,32,1265,0.67,27.6,55.4,518.3
"escuela_304","Salto","publico","urbana",68.6,88.9,5.7,29,1442,0.67,26.4,64.2,525.4
"escuela_305","Canelones","privado","rural",74.8,87.1,9.7,21,1544,0.69,30,37.2,542.4
"escuela_306","Tacuarembó","publico","urbana",64.8,88.9,28.6,27,1063,0.74,31.5,63.2,558.6
"escuela_307","Paysandú","publico","urbana",54.6,80,15.1,21,916,0.34,34,47.5,516.6
"escuela_308","Rivera","publico","rural",59.7,85.9,10.3,32,1275,0.58,29.2,38,534.4
"escuela_309","Tacuarembó","publico","urbana",33.2,88,13.7,31,1029,0.41,32.7,53.5,487.3
"escuela_310","Montevideo","publico","urbana",35.9,82.2,18.2,23,950,0.38,24.5,35.2,432.7
"escuela_311","Montevideo","publico","rural",64.5,84.3,15.8,34,968,0.45,26,60.2,470.5
"escuela_312","Rivera","publico","urbana",48.7,82.2,12.7,34,772,0.3,27.6,57.7,451.7
"escuela_313","Canelones","publico","urbana",59,94.2,5.4,20,1453,0.74,29,68.2,590.8
"escuela_314","Salto","publico","rural",73.6,91,12.3,36,1322,0.71,29.6,62.1,561.8
"escuela_315","Maldonado","publico","urbana",49.2,78.6,20.9,26,1136,0.59,27.5,31.9,521.3
"escuela_316","Colonia","privado","urbana",54.4,83.2,14.6,30,1702,0.51,31.5,13.8,510.6
"escuela_317","Tacuarembó","publico","urbana",13.5,72.5,16.3,18,893,0.4,35,74.5,453.4
"escuela_318","Paysandú","publico","urbana",52.4,86.5,14.4,27,933,0.52,27.2,70,477.7
"escuela_319","Tacuarembó","publico","rural",45.4,87,17.6,28,816,0.41,28,63.6,497.9
"escuela_320","Rivera","publico","urbana",68.4,86.6,25.2,25,931,0.64,22.4,34.9,579.6
"escuela_321","Montevideo","privado","urbana",61.6,81.7,17.2,25,1341,0.56,28.4,39,488.3
"escuela_322","Paysandú","publico","urbana",50.8,77.4,5.1,22,1152,0.53,32.4,41.9,526.1
"escuela_323","Rivera","publico","rural",46.1,83,16,25,1153,0.58,27.4,56.4,504.5
"escuela_324","Canelones","publico","urbana",59.8,75.5,11.6,22,984,0.54,24.3,82,526.9
"escuela_325","Maldonado","publico","urbana",63.9,92.5,14.6,28,1572,0.74,24.7,82.6,548.1
"escuela_326","Maldonado","privado","rural",52.4,82.9,10.2,22,1574,0.63,32.5,61.2,532.1
"escuela_327","Colonia","publico","urbana",59,73.7,21.5,27,1713,0.91,34.5,36.6,519.2
"escuela_328","Salto","publico","urbana",59.9,92.3,13.9,31,1379,0.68,26.8,71.7,516.5
"escuela_329","Montevideo","privado","urbana",70,89.9,17.1,21,1624,0.76,33.4,50.2,548.5
"escuela_330","Paysandú","publico","urbana",74.7,74.9,11.4,25,1554,0.57,27.3,30.6,528.4
"escuela_331","Maldonado","privado","rural",37.1,83.5,28.7,23,1433,0.53,26.3,37.5,521.9
"escuela_332","Tacuarembó","publico","rural",56.6,81.7,13.2,26,1286,0.52,34.4,43.7,537.4
"escuela_333","Rivera","publico","urbana",72.2,95,16.7,31,1607,0.63,35.2,49.2,569.4
"escuela_334","Colonia","publico","urbana",37.6,94.5,12,32,1347,0.72,29.3,79.3,499.7
"escuela_335","Montevideo","publico","rural",50,86.9,11,37,1133,0.65,24.6,69.6,490.5
"escuela_336","Canelones","privado","urbana",55.4,91.7,14.3,21,1533,0.78,30.6,51.4,546.2
"escuela_337","Canelones","privado","urbana",64,94.9,21.5,32,1699,0.73,24.7,86.6,568.1
"escuela_338","Colonia","publico","urbana",55.5,84.5,23.4,28,1036,0.42,30.9,83.1,525.5
"escuela_339","Salto","publico","urbana",52.7,88.9,13,17,1476,0.47,34.8,55,540.9
"escuela_340","Paysandú","publico","urbana",82.4,88.2,14.1,20,1605,0.55,29.2,50.2,579
"escuela_341","Rivera","publico","rural",46.7,82.9,20.9,21,861,0.63,29.4,74.9,468.7
"escuela_342","Rivera","publico","urbana",36,86.6,23.2,21,934,0.37,22.3,100,503.5
"escuela_343","Maldonado","publico","urbana",44.4,84.3,11.7,28,1094,0.41,27.7,10.6,486.6
"escuela_344","Paysandú","publico","rural",43.5,90,13,35,1309,0.54,35.8,44.9,540.3
"escuela_345","Colonia","publico","rural",41.7,83.5,21.1,28,1260,0.47,24.3,46.7,491.7
"escuela_346","Salto","publico","rural",56.7,81.8,16.3,25,1473,0.56,31.3,83.4,500.4
"escuela_347","Salto","publico","rural",38.4,87.6,8.7,23,1354,0.83,26.6,81.9,433.6
"escuela_348","Salto","privado","rural",69.7,92.5,18.7,30,1717,0.66,25.9,55.5,565.3
"escuela_349","Canelones","privado","rural",57.4,79.3,1,20,1541,0.63,35.8,43.3,437.5
"escuela_350","Canelones","privado","urbana",52.9,79.6,19.5,27,1465,0.65,21.4,47,480.2
"escuela_351","Salto","publico","urbana",54.1,87.1,16.9,21,1111,0.77,36.6,63.6,469.5
"escuela_352","Colonia","publico","urbana",46.2,86.5,17.1,24,1416,0.59,24.8,64.4,506.1
"escuela_353","Maldonado","publico","urbana",55.2,83.8,17.7,20,1648,0.75,24.1,30.2,555.5
"escuela_354","Colonia","publico","urbana",77.8,96.4,11.9,24,1649,0.76,31.2,57.2,608.7
"escuela_355","Salto","publico","urbana",53.7,78.3,13.5,33,1317,0.57,30.5,62.6,463.1
"escuela_356","Rivera","publico","rural",45.8,78.4,8.6,25,1554,0.43,26.4,52.4,496.1
"escuela_357","Salto","publico","rural",27.4,82,5.8,30,885,0.62,24.9,63.8,421.3
"escuela_358","Canelones","publico","urbana",58.1,87.9,17.7,18,871,0.43,26,37.4,547.1
"escuela_359","Montevideo","privado","rural",59.5,81.4,7.7,21,1077,0.58,34.5,47.6,494.1
"escuela_360","Montevideo","publico","urbana",75.7,93.9,22.1,27,1263,0.5,29.4,99.4,597.8
"escuela_361","Tacuarembó","publico","urbana",27.7,82.3,21.2,24,818,0.5,35.7,69,441.2
"escuela_362","Rivera","publico","rural",36.3,79.1,12.4,30,919,0.57,32.8,54.5,460.1
"escuela_363","Paysandú","publico","rural",40.6,80.2,15,22,956,0.66,31.8,76.3,458.6
"escuela_364","Paysandú","privado","rural",63,83,23,25,1507,0.57,34.4,61.4,528.2
"escuela_365","Colonia","publico","rural",39.3,87,14.6,28,760,0.44,27.4,63.4,506.2
"escuela_366","Canelones","publico","urbana",57.8,81.7,17.7,30,1447,0.63,32.8,90.9,561.7
"escuela_367","Colonia","publico","rural",82.6,89.5,18.3,32,1286,0.55,33.2,25.8,563.9
"escuela_368","Canelones","privado","urbana",63.6,81.1,22.3,28,1533,0.57,27.2,69.6,552.2
"escuela_369","Canelones","publico","rural",49.4,86.1,12.1,33,914,0.54,39,31.9,506
"escuela_370","Rivera","publico","rural",37.6,85.7,14.6,28,515,0.38,32.9,27.8,443.2
"escuela_371","Tacuarembó","publico","urbana",70.2,94.6,11.1,21,1352,0.85,30.9,23.4,523.9
"escuela_372","Montevideo","privado","urbana",51.7,85.8,5.7,28,1642,0.47,31.6,49.6,519.2
"escuela_373","Montevideo","privado","urbana",63,91.5,1,32,1439,0.89,30.8,44.3,524.1
"escuela_374","Rivera","publico","urbana",58.7,78.3,9.4,29,1528,0.61,35.8,73.4,508.8
"escuela_375","Montevideo","publico","urbana",67,89.5,14.4,24,1386,0.77,28.3,77.5,544.5
"escuela_376","Maldonado","publico","urbana",58.5,86.9,9.9,28,796,0.45,32.6,38.5,461.8
"escuela_377","Canelones","publico","urbana",64,94.3,13.8,24,1505,0.74,26.4,53.3,598.2
"escuela_378","Rivera","publico","urbana",35.4,77.4,15,28,1448,0.68,21,10,454
"escuela_379","Salto","publico","urbana",46.9,89.7,20.3,28,907,0.62,25,35.7,530.5
"escuela_380","Maldonado","publico","urbana",53.7,84.5,3.1,17,934,0.4,35.3,84.8,486.9
"escuela_381","Rivera","publico","urbana",69.7,88.3,27,35,1305,0.69,34.3,61.9,565.9
"escuela_382","Tacuarembó","privado","urbana",68.8,87.9,14.7,26,1691,0.56,29,52.2,546.8
"escuela_383","Colonia","privado","urbana",65.5,88.9,19.8,26,1545,0.59,31.1,44.9,571
"escuela_384","Montevideo","publico","urbana",56.1,83.7,3.3,25,1132,0.61,23.9,37.2,518.8
"escuela_385","Maldonado","publico","rural",32.8,85.9,23.3,23,908,0.51,29.9,42.3,494.3
"escuela_386","Paysandú","privado","urbana",49.1,88.1,14.6,28,1586,0.68,30.4,66.6,506
"escuela_387","Colonia","publico","urbana",61,86.1,11,20,1335,0.6,26.7,60.7,523.5
"escuela_388","Colonia","publico","urbana",42.3,83.4,10.3,33,1117,0.56,30.8,94.2,469.5
"escuela_389","Canelones","publico","urbana",59,97.3,13.4,17,1257,0.7,28,54.1,546
"escuela_390","Salto","publico","urbana",37.2,79.2,9.1,29,987,0.28,29.4,63.3,454.7
"escuela_391","Canelones","publico","urbana",44.7,84.3,10.1,22,1119,0.57,27.1,42.8,489.7
"escuela_392","Canelones","publico","urbana",55.8,89.7,3.1,22,1473,0.47,30.5,50.2,541.8
"escuela_393","Montevideo","publico","urbana",39.1,85.9,12.5,23,1261,0.76,34.2,64.8,500.3
"escuela_394","Maldonado","publico","urbana",52.7,93,8.2,28,897,0.57,32.3,76.5,496.5
"escuela_395","Maldonado","publico","urbana",58.2,89.2,6.7,34,1369,0.59,28.5,90.6,532.9
"escuela_396","Rivera","privado","urbana",91.5,94,9.6,24,1602,0.85,31.3,48.9,612.1
"escuela_397","Rivera","privado","urbana",59.7,91.9,18.8,29,1457,0.6,28.1,36.2,531.2
"escuela_398","Montevideo","publico","rural",54.3,79.1,10.1,29,1385,0.37,23,47,503.3
"escuela_399","Montevideo","publico","urbana",64.9,87.3,23.8,15,1299,0.43,22.6,76.6,565
"escuela_400","Maldonado","publico","urbana",87.7,93.2,27,28,1685,0.73,24,68.2,603.1
